epic_number,Period_1,Period_2,amp_ratio_21,k2_teff,k2_rad,k2_mass,abs_magnitude,lc_amplitude,p2p_98,p2p_mean,stddev,kurtosis,skew,iqr,mad,max_binned_p2p,mean_binned_p2p,RRab_dist,EA_dist,EB_dist,GDOR_DSCUT_dist,template_dist,class,probability
206049222,0.704102098,0.234703532,0.3333373564241247,6214.0,1.32,1.14,1.468551286257625,59436.239988008274,16539.408656713582,3.4907599770549447,14332.768988754708,1.9483731252632868,-1.7292591021844697,12743.415456013172,6024.982461925483,0.17417360090550654,0.00011759476121204861,20.02498439450079,7.0,8.0,26.1725046566048,0.5879520512809018,EB,0.948119
206038483,3.0015047000000004,0.50037953,0.1667095607080009,5700.0,1.08,1.03,4.1515323291263835,702.7331231904973,55.31838660309607,-0.00045604349015259874,97.84324209781565,24.698130656981174,-5.000354157309807,26.83548572732252,19.923117344847984,0.600431629691207,0.005037664343907475,21.93171219946131,1.0,16.0,21.095023109728988,0.4803289503646353,EA,0.623023
206045448,0.407644272,1.207153198,2.9612907157444366,6507.0,3.83,2.0,3.431717112713597,550509.5780081549,293381.0663495887,-12.620183918487074,186140.29821164266,-1.4550433274036925,-0.27711493538448023,375852.7385635288,240310.35757628645,0.1240366863665987,0.0002285183792969388,21.18962010041709,15.0,0.0,22.203603311174522,0.8154420297754417,EB,0.96899
205945953,0.942516646,0.314177292,0.3333387196219344,6309.0,1.24,0.86,2.3794055484427847,45770.23076717356,10094.505539923191,3.60825988843962,11858.676014853132,2.008914770435486,-1.7824202111211347,8702.16930889865,4482.376134153704,0.1768337721666136,0.0006766561720736599,20.02498439450079,7.0,8.0,26.1725046566048,0.8097420466684448,EB,0.997281
206348448,0.459376153,0.07656205099999999,0.1666652709332084,,,,5.396623520139087,1974.7738161550487,809.9836277402183,-0.14852884515372514,435.2611966260037,0.26934397382540265,1.1466065127922829,571.9527074043917,262.2486645035051,0.2058920268390862,0.00020628889185004217,1.0,21.18962010041709,21.54065922853801,19.104973174542803,0.5348282569287408,RRab,0.945751
206226502,0.130698376,0.137667511,1.0533222769347952,6716.0,1.68,1.44,2.1615882120297005,29718.561267255573,12332.442082180634,2.9268112260654964,6123.516796295436,-0.7482902707033068,0.08009289836415963,9001.049830569536,6667.9918260362365,0.15210491345837865,0.0011552618112039188,19.104973174542803,21.095023109728988,22.803508501982762,1.0,0.07805100212794026,DSCUT,0.957808
206212261,15.47847469,5.16918065,0.33395930500436155,5500.0,0.88,0.92,3.695727627896343,10876.783137878141,56.4093021231785,0.02644350862002257,820.0441159694896,124.39494226239417,-10.876739956299726,64.26114022449474,47.22797097270885,0.6931953365798063,0.015758359077403927,21.93171219946131,1.0,16.0,21.095023109728988,0.8670837306071846,EA,0.990338
205936222,17.69987785,10.33286691,0.5837818202796241,5581.0,2.0,0.93,3.4385435129087707,59379.89452870109,59.74996111585992,-0.06588901037927643,2236.143031121962,486.0589542213372,-21.432681657033264,272.01850649242994,122.01674611214158,0.9994566400890852,0.014974344292203463,21.93171219946131,1.0,16.0,21.095023109728988,1.0073739480867443,EA,0.97886
206105536,0.6245405279999999,0.17608671,0.28194601007542625,,,,4.9219444564365205,634.1696796963206,185.294439084008,-0.13553602074397494,178.73314562652308,-1.0386457378328324,0.4818169126388987,296.92821979331575,186.23645184223722,0.1624977603391501,0.00013638953787532745,4.123105625617661,18.35755975068582,17.08800749063506,19.924858845171286,0.2752353341586926,RRab,0.625926
206046073,0.49696732,0.082797195,0.16660490874933187,,,,5.465183521218987,1246.0050054058486,617.0102125672997,0.0034921721467671674,309.65633218512306,0.3903260158861155,1.1687913388745519,399.08918908105306,200.13283624604043,0.20516710650574346,6.518183830077893e-05,1.0,21.18962010041709,21.54065922853801,19.104973174542803,0.4818852905092991,RRab,0.903031
206173295,2.264018561,2.098105372,0.9267173901053544,5788.0,1.42,1.02,3.955812095166985,5069.400183736491,458.33469936037864,0.4629921100984708,723.2543022050427,1.4751759119135341,-0.7936077525309261,884.225710473911,659.3017044089436,0.1347278156293792,0.0006239366426765197,13.92838827718412,24.20743687382041,16.15549442140351,9.899494936611664,0.1429489389971434,GDOR,0.81087
206325176,0.08728205900000001,0.079698036,0.9131090273660936,7091.0,1.67,1.51,1.5875865693747393,34643.686632947065,15991.717639894405,-2.728290483970536,5226.571461596487,-0.2157933370014411,0.12099281514603225,7223.717977410764,5356.864115055319,0.1508436866611509,0.0026523839345383307,21.02379604162864,15.556349186104045,17.804493814764854,7.071067811865476,0.15267242650815074,DSCUT,0.996329
206356447,18.3938494,17.39597255,0.9457494280669712,3622.0,0.28,0.28,9.978388973066572,97.7107398501903,19.689336569771665,0.002900397851165379,9.094056042812225,0.5994801905942113,-0.15243734893964314,12.543111846274767,9.297110058674427,0.31898794754894033,0.0005987938595548651,19.798989873223327,18.973665961010283,9.219544457292887,13.41640786499874,4.922319249734672,GDOR,0.670437
206083037,11.60423687,9.049751361,0.7798661353075259,,,,,49.2861087067813,11.364715784862714,0.0008043961765554673,4.392333236535621,0.9592668310150164,0.1237394822402298,5.608057482621007,4.166550346753138,0.395575224797498,0.004618574468858998,13.45362404707371,10.04987562112089,18.867962264113206,13.601470508735444,2.460434638849106,Noise,0.928
205988265,0.50147508,0.083578416,0.16666514316125142,6148.0,1.07,0.84,2.593584442067943,7494.802952745935,3522.967702456701,0.8639476431428806,1912.760213634041,0.0708866249115756,1.0874310113875758,2498.6582326222297,1175.9724386718894,0.2051283059895813,5.733590239982683e-05,1.0,21.18962010041709,21.54065922853801,19.104973174542803,0.507637609568431,RRab,0.800399
