epic_number,lc_amplitude,p2p_98,p2p_mean,stddev,kurtosis,skew,iqr,mad,max_binned_p2p,mean_binned_p2p
205975008.0,0.020798112462571905,0.006701392471609872,-3.2532347787235095e-06,0.0027261192819574144,0.32725569327125426,0.18557705026790142,0.003565124816808707,0.0026523537100486935,0.4043908830027805,0.0011247858953058866
206357626.0,0.008928765971578323,0.0006122244598366791,-1.5324112911404365e-06,0.001533432063776843,-0.20300424570604436,-0.24678811923488747,0.002013648532577683,0.0015186330789852425,0.20124121072784895,0.001497504783868971
206084294.0,0.029318709244016583,0.0071385675534616794,1.008807974785882e-06,0.0045436497324033934,0.1608825805258114,-0.07099770349299912,0.005818221252837152,0.004255445566827932,0.25289854496533204,0.0018263950522440868
206289726.0,0.005225858018184204,0.0009113700668681283,2.713234164302899e-07,0.0005382913488010305,1.080865350797498,-0.3276824591068015,0.0006849810970257497,0.0005081613244474006,0.31422849015361554,0.0017575583781955224
206364070.0,0.0027957017460379374,0.0005028117327643768,8.464073950348555e-08,0.00032177612486866317,0.39840754042117377,-0.09071272342143678,0.00040994417860185095,0.00030380602758241465,,
205965632.0,0.014954812289871389,0.004958746259502338,-9.685156397239087e-07,0.0018130638741125987,0.8275946051110123,0.27517964682854107,0.0022835997900967353,0.0017017315337769703,0.5869045297968448,0.0028449395541038413
205904010.0,0.00813352919779109,0.0005154649799410122,-2.1953054777129304e-07,0.0006103761718772315,6.161484751744188,0.6381744015733534,0.0007781218482583174,0.000552898986051163,0.24173972215325945,0.0023901066467917446
206134785.0,0.003996580428671681,0.0009252724993248582,-1.5207201147663709e-07,0.000501852622062263,1.0167699937277668,0.4316531631704678,0.0006173538100804343,0.0004582397817816738,,
206483262.0,0.05762624938462979,0.010350679264985039,1.6175226833136946e-06,0.004011222105973796,5.288792221523165,-0.48048816069374356,0.005074661760589794,0.003758689044947627,0.5895056757123576,0.005962716697971915
205985930.0,0.0018575815897843295,0.00019623966096958155,4.998624889797069e-08,0.00037653729042950524,-0.5645151361756788,0.558191719441777,0.0005239642950940482,0.00033912128485623816,0.1491889972619747,0.001325571114273808
206357916.0,0.04376526891789834,0.009172773054574822,-1.0313601164528172e-06,0.004123804197766141,1.894343500529036,-0.08442366104475153,0.005136542571575475,0.0038177731113247138,,
206331788.0,0.005011058561907089,0.0005068831837949017,-1.613766350296479e-07,0.0007224226229562464,0.17534805819096322,0.011073065869306953,0.0009031302387746409,0.0006686149461235799,0.23025176028083894,0.003417856255831632
206152419.0,0.002528136031559103,0.0006972983454392565,-1.312509619794238e-07,0.0003399066392477347,-0.022289801350828142,0.1951085199424173,0.0004679082070752072,0.0003470725878064169,0.4543687433211273,0.0026226827677051363
206313277.0,0.00438001576352387,0.0006186392467252722,8.177760283502141e-07,0.0005045789018805746,1.4502535741523461,-0.44158681844739084,0.0006511462896149345,0.00048689019452209507,0.36201942247806645,0.006028109673314884
206093574.0,0.027983362932287648,0.01003088227353699,-8.473298500903366e-07,0.003673149367363716,0.27427324129388486,0.1724169931641684,0.004939427224793902,0.003647323012296331,0.48089273780364794,0.0023978707979356835
