epic_number,som_index,template_dist
205975008,1013.0,1.7105964480302966
206357626,1245.0,0.5795107431729957
206084294,1462.0,0.4926730901095354
206289726,998.0,1.074710043776922
206364070,1474.0,0.6142143096444647
205965632,948.0,1.3857072153527128
205904010,990.0,1.3531363522747673
206134785,1558.0,1.7272911633268366
206483262,1508.0,2.1594065994905756
205985930,1387.0,0.7277191691268178
206357916,909.0,2.123496672295568
206331788,990.0,2.6126136398285933
206152419,926.0,0.9107673589638163
206313277,746.0,1.2325688150228895
206093574,947.0,1.4677367295457704
206233466,756.0,1.4150380311107604
206160501,831.0,0.7647413764315034
206110903,948.0,1.893994543165365
206464365,1484.0,0.848545336082144
206252099,818.0,1.2628296881704846
206111519,850.0,0.5224899587920762
206101111,989.0,1.9681534246371564
206004117,187.0,3.9979923882028476
205930773,829.0,2.765604894566356
206495647,1509.0,2.000885283691219
206302767,971.0,1.1209364926161043
206208760,1003.0,0.3974118132981168
206198986,990.0,1.4259333947825954
206037600,1505.0,2.098424014897106
206125880,1086.0,0.5453462814353736
206500632,1216.0,0.49227662022454943
206363004,1044.0,0.25851629112872687
206093607,871.0,2.03380258782762
206199600,907.0,1.1904973032453319
206552646,1014.0,1.7217053965933635
206314688,986.0,1.3521534604642378
206420211,1505.0,1.2750789599338286
206177519,987.0,0.896763220465518
206142534,833.0,0.7578948928087674
206124977,652.0,2.5731263719132738
206218229,1509.0,1.5534251208317742
206106803,862.0,1.1964812100232978
206002094,1567.0,1.4972856449752403
205929216,870.0,2.8885989202115847
206404348,1296.0,0.6166886086304736
206059945,912.0,0.9176170623263854
206261305,909.0,4.515621260070366
206356690,774.0,1.1135390088505976
206402831,1558.0,1.9180324520506589
206252553,1510.0,1.7084083825550378
206021225,870.0,1.886355358286647
206357857,1508.0,1.748480134247346
206362597,1483.0,0.8976664838831663
206382727,947.0,1.1667050405809078
206287721,1508.0,3.83055272031316
206144774,1008.0,1.016865634862688
206278128,912.0,2.978233518400972
206535016,1238.0,0.17992295490430124
206057733,809.0,1.1036121679216917
206384381,947.0,1.4654028524794303
206473876,8.0,2.4663629166241723
206015192,971.0,0.5180884633669346
206244790,973.0,0.5391179351386188
206049222,471.0,0.40107834687896005
205957250,846.0,1.1227536462526733
206187518,1383.0,0.7030692639352162
205941211,1510.0,1.0694852390812193
205899868,1313.0,0.556379056178887
206040685,962.0,1.2160856268811429
206191784,1562.0,1.775163966111521
206268520,1269.0,0.18387253664432326
205964250,1509.0,2.3724391719730327
206072842,205.0,3.320528165644104
206062148,1505.0,1.0211764961496477
206190025,884.0,2.50550505248414
206038483,608.0,0.19265861140720603
205957634,9.0,1.9690217220667787
206402108,947.0,3.2183106717422114
206206767,906.0,0.9411134470013897
205946116,1226.0,0.2784259810390085
206201145,842.0,0.9336618763270634
206101393,990.0,1.1195076509293411
205964123,1298.0,0.4193237388028709
206534619,930.0,1.1657108609740139
206252029,1506.0,1.1859353783122604
206305286,1297.0,0.5418590728326313
206218105,1524.0,1.1091927038596832
206359136,1262.0,0.5589926620897417
205974719,1583.0,0.9375811846997604
205941804,1453.0,0.2286119517371212
206132828,823.0,1.6877637808886117
206260857,896.0,1.6515485584458598
206225478,947.0,5.3107225439946255
206517447,978.0,0.9176273099332054
206110683,803.0,0.5911956763698833
206092433,1268.0,0.3649184068832226
206276816,809.0,0.7100434955999478
205915309,604.0,0.46994642442438506
206338526,754.0,0.686640222838726
206534929,1505.0,1.9974535641415847
205957845,876.0,1.120200821705075
206036262,1299.0,1.1881639977748941
206223688,1529.0,1.7202986318991114
206109248,1110.0,0.6498831708363235
206046362,1325.0,0.10339253878250226
205994192,1467.0,0.928432750412052
