epic_number,Period_1,Period_2,amp_ratio_21,abs_magnitude,bp_rp,bp_g,g_rp,lc_amplitude,p2p_98,p2p_mean,stddev,kurtosis,skew,iqr,mad,max_binned_p2p,mean_binned_p2p,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54,bin_55,bin_56,bin_57,bin_58,bin_59,bin_60,bin_61,bin_62,bin_63,bin_64,class,probability
201725399,2.161996295,0.720530204,0.3332707857392513,1.5984491050422314,0.39689445,0.13666534,0.2602291,0.8258541683500259,0.0988342379727185,-1.8267366010718132e-05,0.12491868460391953,10.777664554729844,-3.2677868562353343,0.04175120171297153,0.02702007539243406,0.2908004653293021,0.0008215619125888853,0.0,0.12864703627440366,0.3656202095941544,0.5850660942761418,0.8155772147906355,0.9014054045935188,0.9200634877567864,0.924438567584566,0.9279476881756352,0.9405927324866622,0.9527853360054681,0.9627629449720376,0.9715897588513642,0.9804647348637484,0.9868984110797572,0.9932284871500552,0.9944632975533718,0.9966003471059228,1.0,0.9949035697682996,0.9942100357014704,0.9898474466094014,0.9837504487509922,0.9743368673332224,0.9671984222942872,0.9640144809444992,0.9612553804141768,0.9508942772183824,0.9178940778041612,0.8660106680931152,0.8096952304482825,0.7645535121069102,0.7563581986414953,0.7834158293674418,0.8322052341108427,0.8857718581198757,0.9275991705945548,0.9459958477728282,0.9504939229738182,0.9507817206617608,0.9546178607308584,0.9587342690647336,0.9639321180175842,0.9696524642466224,0.9740491640935178,0.9758046329053924,0.9764119342066004,0.9784162455570934,0.9747168352690122,0.9688194687471764,0.9651501485752204,0.9585191808107878,0.9521912944503618,0.94405982088221,0.9318995617451714,0.9236381127176544,0.9169753646729232,0.9110354463567566,0.9005768210646695,0.8742492774969317,0.725860215440076,0.4896284606404258,0.19882799531112366,0.05175840049309978,EB,0.9904290000000001
201748885,9.948185186,8.612248102,0.8657104729131849,7.286545803804934,1.4274826,0.64795685,0.77952576,0.020005157930831685,0.005507411948391687,5.539910621883489e-07,0.0027311190051513123,0.4223570719120384,0.1461135146310831,0.0035565137556240467,0.0026387643810629594,0.4041844420619757,0.003830210286084992,0.0,0.30075209514024137,0.534887494457852,0.3740990599684314,0.2883014028608463,0.15380562489705138,0.3004387259693972,0.7046231680313729,0.6858913248415707,0.5147306982248377,0.7211652937063253,0.8219058181461669,0.8553032750959334,0.735504961122526,0.6420602303998815,0.7610369523408818,0.6490436043182255,0.6312835171716347,0.6180731616209185,0.7478883847925436,0.6487246294671789,0.7928074504933904,0.7393700880631239,0.7804964477019944,0.7434075027515143,0.7592448640890126,0.6700375872671409,0.858296752304585,0.8175928520383932,0.8536910093945753,0.981075053499286,1.0,0.6934597773921803,0.7322786876974314,0.9311620953343837,0.7867278465872362,0.5832587057592125,0.6736431457266864,0.6771899872409737,0.7900579937072337,0.5078110930481214,0.7656395330725048,0.6054359051941169,0.5118140318360525,0.5954666793177252,0.4287545863166527,0.3684491745831707,0.6497684349886604,0.4959828473001133,0.5116880257911021,0.5746387646963935,0.6726192964011767,0.5394524910567076,0.5404056758844829,0.6209660519837359,0.6461324230194837,0.3585540167104251,0.5846332067125246,0.5111665689856013,0.4431617851685191,0.2889598663250276,0.2373159393104741,0.4206084394644902,0.2413032480233545,Noise,0.984361
201576812,6.092371644,2.841896868,0.46646807418565944,4.765535948782352,0.8939799999999999,0.3850565,0.50892353,0.17422827487174974,0.0032236198619611587,2.891346566751658e-07,0.014844044469166822,45.06793569584854,-5.716061367410246,0.010573460062918594,0.0076276524782781345,0.34112688275917796,0.0053293078585554396,0.0,0.3161213075563472,0.3276878613361686,0.3621713190929625,0.033240858892971584,0.3083786426473013,0.3538907315200293,0.3363998108887118,0.36095856201395854,0.41950648462977,0.4320212398716642,0.40753953477006216,0.5057891197765022,0.5305289470880267,0.5629482169060201,0.5907670001510154,0.664985792760438,0.6981224097648274,0.5447294099007214,0.6225504412087542,0.8293226608520575,0.8498807986762897,0.5355707540357909,0.8766976367949689,0.948635913580842,0.9373864938724824,0.6652008860499959,0.9587384292743328,0.9497515264791244,0.9680331082775036,0.7089312346513936,1.0,0.9482632636645926,0.9262831231428288,0.8802476209996726,0.8821308306287041,0.8981490565497452,0.7137182096722341,0.6551786478212622,0.8091144379264733,0.7498086770292854,0.4835531940488106,0.6518485192298588,0.6741361134060994,0.6247736761872372,0.6042056656836405,0.563132455958743,0.5483709630561145,0.4685247418442886,0.13445076960537122,0.4460064946781265,0.4502468381003893,0.3484632778144301,0.1838613458913632,0.4168308500986457,0.471013028153728,0.2366339898595929,0.3488303476182422,0.4033433155476145,0.3901553204321717,0.07245275873103843,0.2624076360527325,0.3795356820383446,0.33574639508899284,EA,0.7054630000000001
201814774,1.236955657,1.170150036,0.9459919030872744,2.6100666576100373,0.53188705,0.21554756,0.3163395,0.06076611896923345,0.0030363140427269184,3.909200166548975e-06,0.011311445776598424,-0.4548679857518083,0.3354482707853295,0.01666761433276176,0.012291294405674464,0.07121580730701338,3.71176711604553e-05,0.0,0.020219932840709786,0.0317371467711874,0.06381875497229007,0.0689890302650426,0.09723050298281624,0.09658439959564666,0.13774278373356735,0.17088178607227486,0.2094526339789363,0.2437709754165069,0.28115190953958635,0.3311996278860172,0.3612827659074476,0.4162548195168223,0.4557790194859437,0.5060622629318267,0.5350557010732127,0.5940458286241719,0.6630555492632008,0.7282525049422108,0.7558278092817311,0.7926210878164291,0.8138486429285915,0.8848465358330015,0.8978402396095492,0.9543689950618937,0.9779188244434628,0.9906294223521306,1.0,0.978476262428112,0.9905023428523038,0.9843647808589826,0.9803411127985868,0.9749658594565318,0.9394059044776532,0.9239871308171528,0.8900635187224948,0.8671938389452858,0.81848808558906,0.7736502070695553,0.7368520074047296,0.6656362000977162,0.6405997876711109,0.5932326252766323,0.5408182520023652,0.479919003785743,0.4155789736796382,0.3794257918060465,0.32195213754365515,0.2829908569511899,0.2477974046980108,0.21726525790833845,0.18732214503338326,0.140935513891695,0.12816483426327313,0.0971268851624124,0.06225617508088836,0.06403451240410074,0.04556013719829562,0.04264859370638337,0.03193209140878591,0.018840932581361058,0.002338413283108654,GDOR,0.745607
201511174,11.95020618,11.35762667,0.9504126120441547,6.866091279686174,1.4642706,0.681551,0.7827196,0.03965813373560334,0.0012328188975590595,-2.339778874103922e-06,0.007794913745637089,-0.4798446738080244,-0.036133173886754924,0.011450829452697377,0.008233294606865544,0.08645325565835071,0.00010172521292991134,0.0,0.005299982769245013,0.045520616612277236,0.07166270183013004,0.14239369213274905,0.1541608173220589,0.16819362707819024,0.17335797202805653,0.20279947170316925,0.24262873154208026,0.28695232690570105,0.2934513159230377,0.30768985760876577,0.3237404654098669,0.3471462183191577,0.37640022660926975,0.3802362554044808,0.4088023999418331,0.4184781781248999,0.4418333871643811,0.4889062890310387,0.5073655519682557,0.5546265781642069,0.5336026571356846,0.5884632467550707,0.6408041763269896,0.7272574319853403,0.7805551213772692,0.8447089472670447,0.8963011253827451,0.9436951842752191,0.9748450377997436,0.9891340133940468,1.0,0.9805795420741158,0.9972698474801074,0.9717831072566496,0.9065769563288028,0.8977639109159928,0.8463029074777874,0.8043547667963596,0.7553726603407,0.7291041753456566,0.7110895465252316,0.6777293364905228,0.6584536830071269,0.6291196585068675,0.596517237296722,0.5542341420793306,0.5161775707252968,0.479007236571019,0.4204971233077567,0.3826966334211007,0.3371069499470931,0.3089914030254365,0.2794489316799968,0.2419207075637305,0.17481448474701278,0.13888927565137446,0.12229984693412214,0.06741881913558204,0.05259533345364355,0.036835209389075925,0.00640868841458447,OTHPER,0.9901909999999999
201855304,14.42270132,15.24556319,1.0570532420898806,3.967511882323283,0.94048595,0.39287186,0.5476141,0.04564647983932457,0.0013998518901976965,-1.852644723306261e-06,0.011131584373144371,-0.9318624047626898,-0.4102250929954409,0.018601512832118527,0.01211065848155416,0.08931768054636703,0.00038468593589058563,0.0,0.02717887797013584,0.020734581673464408,0.01342146514752802,0.0252779228247164,0.03649047054944388,0.06293491359620712,0.13793548731836847,0.19132564867639612,0.21345484182248106,0.28189891732872185,0.31296431165969,0.3928481546737432,0.4518688178383553,0.5370108817750272,0.5973643442138334,0.6539853667780232,0.7433030473243902,0.8148688659030057,0.8134191997595556,0.8637738067947399,0.8996651794372497,0.9271247199640426,0.9543900812277676,0.9917594409509781,0.9977493901923679,0.9900226267516701,0.9942105233620812,1.0,0.9588630362496406,0.9799693879494872,0.946729688986356,0.9634161149811162,0.9491580255145428,0.932217091408328,0.8973110014610198,0.8932803369194754,0.8617742420425449,0.8591139025553204,0.8202466441306879,0.8068197664408638,0.7726776993022626,0.7415460634596333,0.7451768639540112,0.7000247026864925,0.6573685406469449,0.6250202486135131,0.6062627965675005,0.5609344252943504,0.4925999006505008,0.4459753632603979,0.4221624722765387,0.3370394363732409,0.2788096536830257,0.2430122771219197,0.18790103037857409,0.14308948539936528,0.08328222220388684,0.05835356391009714,0.04191422843584724,0.024871280407279168,0.0483639485397603,0.01626947454073016,0.02423521396110689,OTHPER,0.9922790000000001
201937413,19.51317428,18.393849399999997,0.9426374784574515,7.2455839305308825,1.4117908000000001,0.6366748999999999,0.77511597,0.04739759948090827,0.007411846066496428,-3.825720305807146e-06,0.004485471366163734,2.984066019846468,0.6020316133771403,0.0048936271700916745,0.003615236238702423,0.39112240157980976,0.012638432990477802,0.0,0.06139968764269861,0.1769385098833703,0.30494306309016744,0.5105785614353956,0.37463945339155297,0.5403789942942213,0.51538205229722,0.5444320726026217,0.5385855926412576,0.6191042846528937,0.3914648964450385,0.5892919336647885,0.4890847915243686,0.5065895384935426,0.7226265745953869,0.4815696418905393,0.5380986737353929,0.867974227448239,0.6594446517739879,0.7050429108980087,0.8125122623630457,0.6592986100662773,0.8793645204256071,0.6957536167076359,0.8025681964191506,1.0,0.6664109961937381,0.8428433865319612,0.7863952198086693,0.7911218829853491,0.6870765205387929,0.7704789607361778,0.7794539325158599,0.7365361736464696,0.8046931482303007,0.9631678796776492,0.8004698483240051,0.9426550661937734,0.93406989900163,0.7521379538119433,0.7760658388229053,0.7516549788974864,0.9534528428432144,0.7939360119073521,0.5143408024570995,0.5058444015199325,0.48290227699399396,0.4387145304506037,0.3769549688741317,0.5095871825828046,0.2397870871959896,0.3351561256794592,0.3527053766460892,0.2394710978249386,0.24604866209949106,0.1901084580363953,0.4072705001594944,0.5149209005133527,0.3269970289348814,0.2450774970782312,0.3716868819560963,0.4050988768202917,0.7962212784001015,Noise,0.9893569999999999
201484494,18.60732198,17.58679124,0.9451543461709906,9.006151320569947,2.1268882999999996,1.0880184,1.0388699000000001,0.0274524635535921,0.004578110651645814,-3.950392936139456e-07,0.002321235274045986,2.014909861523368,0.0871222711203564,0.0029699474127133922,0.002189391919828759,0.3992642953438756,0.00483859861131571,0.0,0.34693860323335285,0.4903538035985294,0.5612474690807188,0.3777103263901953,0.5009023999747981,0.5285595079995558,0.4414861347819185,0.5398705095727705,0.5654151636245969,0.9173733331740151,0.8135651072256662,0.7683863218737519,0.4170961051096845,0.44770916636759656,0.40083114177389895,0.8000954371177745,0.9371119753590132,0.7224750218139453,0.9181059345753024,1.0,0.7194891671648123,0.8325703588887692,0.9121162487687978,0.90326425096769,0.6875450143471034,0.8493372970004921,0.6734964736742822,0.6946915965849741,0.7182945962713434,0.7551380751022829,0.7484302087131849,0.8136004281813319,0.6558899701598399,0.5713958248151265,0.7186314214837295,0.8820283782310187,0.6870151471652755,0.5604992706726045,0.5000576835033685,0.4704610261991425,0.3851981631578113,0.67080190374326,0.3795324911423156,0.33668648270821233,0.4349956175387722,0.39459216941095815,0.3960737665916357,0.3688069490706709,0.2713240884894144,0.4800982551087394,0.3008056089709413,0.488394907733975,0.26351381647078964,0.3583126548401569,0.31527002021031075,0.3298966274084517,0.32602375086815905,0.4910706775421069,0.3992557616922721,0.5205549664209707,0.27793900653614073,0.19391538262846567,0.3048317125128899,Noise,0.981424
201843069,1.096960711,0.09139684599999999,0.08331824930783688,,1.8783998,0.7366791,1.1417208,0.2296519396373853,0.08105395359208309,-2.965302995680046e-06,0.03123216718420333,13.36730124269825,-3.567843345713323,0.010106271910303109,0.0074551897252845625,0.5736933655594695,0.008580075900404415,0.0,0.1827606315358649,0.7564539970953343,0.986398833914621,0.9957155890754156,0.9898216310928736,0.994060619413123,0.9936620294981512,0.996548522257855,0.9974406018737586,0.9963715968006492,1.0,0.9921528642444424,0.9888697311375144,0.9930887682839176,0.9934957153982172,0.9863500814165812,0.9828705874738101,0.9833792997945732,0.9777115702198256,0.9718245798864642,0.9654991410184641,0.9695497352957873,0.9559768697964114,0.9567958582664926,0.9594061445973121,0.9599579741561478,0.9635224133934206,0.9567935126420616,0.9583334845274848,0.9168438028507556,0.6520690457139446,0.3641741727440429,0.4595264914893685,0.7737326763658826,0.9420325678933024,0.953147257098708,0.9431103954557798,0.9476277973018004,0.9509044571620552,0.9406239056106956,0.9445077783628631,0.9449277343482152,0.9439371974947572,0.9456013954429292,0.9472777959012256,0.9561096536235768,0.9586036225870886,0.959723524472878,0.9660241746691676,0.9583551167698761,0.96016844181686,0.9652157115500318,0.9695843029226788,0.9748083180587412,0.971579363422544,0.9706208304213341,0.9760298005432759,0.9866507151096032,0.9871366920656632,0.9847677557957892,0.9922244100489399,0.9414470069196932,0.5405447817254779,EA,0.774812
201673708,13.12404942,12.41280103,0.9458057214478243,5.595898767736021,1.0134001,0.43131447,0.5820856,0.01640270071274752,0.0008381492637086208,1.5312235576967569e-06,0.0030187430289727838,-0.4564565947929342,-0.2465890334074128,0.003855564488404961,0.002788113375279191,0.11730393409384555,0.00012545355039061991,0.0,0.0162982881511068,0.003927804309288795,0.04234556082664793,0.02978382854273385,0.006887431796480128,0.07037772976365064,0.11169443888126217,0.18252839130255166,0.1756125541813421,0.1878706074598889,0.19966814245979053,0.24067831116604124,0.3225794352983899,0.3750167551538315,0.4111494334407197,0.4941495526544858,0.5000875618071781,0.5950715259374043,0.6559661914666446,0.7204523358911585,0.7425144103799316,0.7924701144152575,0.8217271326886619,0.8675929421499463,0.9494717497378022,1.0,0.9756383212152974,0.8583343871214518,0.8282169901636264,0.8543320114884987,0.8490431346360521,0.8698515460427191,0.8600107993969468,0.8565854532188479,0.8753604983857787,0.8978103636877075,0.8767005890005589,0.873445846042314,0.8540299621114047,0.7893884565592387,0.8039121291046679,0.7609568214374232,0.6618565580982152,0.6119349881837509,0.5533939090057455,0.5358592862488187,0.4985977945861261,0.4575195351434217,0.4180645025656792,0.37323236509390256,0.34485745529608225,0.2779077219122767,0.2860160581295035,0.2763475937600115,0.22593435334329245,0.15149341353493448,0.12422508054706753,0.12068794372934916,0.05769521811232181,0.08997434014159827,0.0363268476135575,0.0054423954405892865,0.007903573674609083,OTHPER,0.993173
