epic_number,som_x_pixel,som_y_pixel,som_distance,max_binned_p2p,mean_binned_p2p
205975008.0,10.0,29.0,1.1949899883868955,0.4043909013271332,0.0011247862130403519
206357626.0,12.0,19.0,0.391936179731827,0.20124125480651855,0.0014975047670304775
206084294.0,31.0,26.0,0.5093698364407884,0.2095838189125061,0.001826395746320486
206289726.0,39.0,11.0,0.5528393472526714,0.23084741830825806,0.001757557736709714
205965632.0,5.0,0.0,1.0184156441998444,0.5869045257568359,0.002844940172508359
205904010.0,4.0,33.0,0.5287925802757277,0.24173972010612488,0.0023901069071143866
206483262.0,35.0,4.0,1.4691849252175038,0.589505672454834,0.00596271688118577
205985930.0,35.0,27.0,0.6710668248870931,0.11661291122436523,0.001325572025962174
206331788.0,2.0,33.0,1.4249765758976363,0.218184232711792,0.003417855128645897
206152419.0,9.0,7.0,0.8476019392344469,0.4543687403202057,0.002622682601213455
206313277.0,29.0,8.0,0.7066744726448655,0.36201944947242737,0.0060281106270849705
206093574.0,12.0,35.0,1.1465536221622386,0.48089274764060974,0.0023978697136044502
206233466.0,25.0,18.0,1.0854702876381124,0.41256240010261536,0.002787112956866622
206160501.0,19.0,8.0,0.6704132625316659,0.39622682332992554,0.003732249140739441
206110903.0,6.0,1.0,1.5789065650648964,0.4796977937221527,0.00339347030967474
206464365.0,27.0,25.0,0.5409301635331367,0.24017852544784546,0.0022059238981455564
206252099.0,15.0,22.0,0.8012267243331666,0.21730217337608337,0.003758668666705489
206111519.0,12.0,17.0,0.31710191267603993,0.06581330299377441,0.0004065100511070341
206101111.0,12.0,29.0,1.3739014849591311,0.4010813236236572,0.00310517312027514
206495647.0,32.0,0.0,1.708521367715988,0.5824054479598999,0.0071291374042630196
206302767.0,5.0,4.0,1.1933774693234587,0.3721229135990143,0.00044186756713315845
206208760.0,4.0,11.0,0.3592441165417449,0.22773289680480957,0.0031116402242332697
206198986.0,4.0,32.0,0.7088098455318496,0.5127881765365601,0.00029307426302693784
206125880.0,9.0,20.0,0.2774696109343666,0.07444557547569275,0.002098187804222107
206500632.0,39.0,15.0,0.27120816194465064,0.2160986065864563,0.0006046636844985187
206363004.0,7.0,16.0,0.1321150315338784,0.1318865716457367,0.0004386147193145007
206093607.0,15.0,8.0,1.7510258908984422,0.4584865868091583,0.005785129498690367
206199600.0,12.0,5.0,1.0559834420059595,0.18920546770095825,0.0023449715226888657
206552646.0,10.0,27.0,1.2499609128018219,0.3933621048927307,0.0011018614750355482
206314688.0,0.0,4.0,0.9271183436265551,0.49194198846817017,0.0028286452870815992
206177519.0,2.0,3.0,0.7187251312582739,0.3452264070510864,0.00035212154034525156
206142534.0,16.0,13.0,0.7194485814750606,0.29412782192230225,0.0019253600621595979
206218229.0,33.0,1.0,1.0439731415146072,0.3016434609889984,0.0019490321865305305
206106803.0,13.0,26.0,0.9160739723527747,0.36782392859458923,0.00419076532125473
206002094.0,36.0,34.0,1.6346987455241182,0.3167049288749695,0.0014031777391210198
205929216.0,14.0,33.0,2.4517825493320746,0.5994343161582947,0.002981041558086872
206404348.0,31.0,20.0,0.36727664043717057,0.3583185076713562,0.0006989294197410345
206059945.0,11.0,5.0,0.8820228614967531,0.5812499523162842,0.0009533495758660138
206356690.0,26.0,19.0,0.8854585521023464,0.5349751710891724,0.0028845572378486395
206402831.0,38.0,39.0,1.0904218871585558,0.3757457137107849,0.00540480762720108
206252553.0,34.0,1.0,1.4256780522632562,0.3337492048740387,0.005393502302467823
206021225.0,18.0,9.0,0.9951139291567654,0.37458717823028564,0.007533866446465254
206357857.0,30.0,1.0,1.3253742022665516,0.3529800772666931,0.0028402269817888737
206362597.0,25.0,28.0,0.8003274284965088,0.38039350509643555,0.002713586902245879
206382727.0,11.0,35.0,0.8966134329390543,0.2887570261955261,0.0005871997564099729
206287721.0,25.0,1.0,1.6824461031799602,0.7297363877296448,0.0003039326111320406
206144774.0,8.0,12.0,0.7666397022666289,0.22704219818115234,0.0028908292297273874
206278128.0,15.0,38.0,1.7392989789928937,0.4228031039237976,0.0027854610234498978
206535016.0,1.0,19.0,0.20549702180617535,0.06747305393218994,3.646643745014444e-05
206057733.0,18.0,22.0,0.9528438942209067,0.4378665089607239,0.002911993535235524
206384381.0,12.0,34.0,1.1453147861460873,0.38269034028053284,0.0023829368874430656
206473876.0,28.0,39.0,1.6406400807285706,0.27096372842788696,0.0011559495469555259
206015192.0,6.0,10.0,0.3000630378306,0.21806716918945312,0.002394425682723522
206049222.0,24.0,13.0,1.9935439244940865,0.17417356371879578,0.00011759476183215156
205957250.0,16.0,15.0,1.0726922423514964,0.45882853865623474,0.002269674791023135
206187518.0,0.0,26.0,0.6215210469502155,0.2870597243309021,0.0013543310342356563
205941211.0,31.0,0.0,0.8635876078711562,0.310436487197876,0.007435380946844816
206040685.0,2.0,3.0,0.9738629488862102,0.27499818801879883,0.0015268605202436447
206191784.0,2.0,37.0,0.762295512612368,0.587327241897583,0.002000244101509452
206268520.0,36.0,18.0,0.267731489950846,0.12733258306980133,0.000426899001467973
205964250.0,31.0,1.0,1.6714719235168654,0.4680614471435547,0.003320472314953804
206072842.0,23.0,0.0,1.3282283633738305,0.2953702509403229,0.010922198183834553
206062148.0,33.0,5.0,0.7824034112247142,0.3101608157157898,0.0017291319090873003
206190025.0,17.0,5.0,2.2005234976483656,0.48399534821510315,0.008376454003155231
206038483.0,24.0,11.0,2.6449627368998954,0.6004315614700317,0.00503766443580389
205957634.0,24.0,31.0,1.2458996008432863,0.3926706314086914,0.0056807007640600204
206402108.0,0.0,3.0,2.4805285470933116,0.4186372458934784,0.0046501001343131065
206206767.0,1.0,7.0,0.8579004680870408,0.3304256200790405,0.001903146505355835
205946116.0,1.0,17.0,0.18375898848909145,0.15227441489696503,0.00014777756587136537
206201145.0,13.0,14.0,0.8392794168731375,0.32240286469459534,0.005447729490697384
206101393.0,1.0,4.0,0.9442996056154564,0.37342435121536255,0.00244643515907228
205964123.0,36.0,19.0,0.4331775063803266,0.33002161979675293,0.00127918750513345
206534619.0,9.0,7.0,1.0569338466181217,0.4627370536327362,0.004598561674356461
206252029.0,34.0,11.0,0.8976434699284745,0.32527828216552734,0.0007762353052385151
206305286.0,34.0,16.0,0.43728927263547146,0.1828475445508957,0.0016676849918439984
205974719.0,29.0,30.0,0.6375758501040953,0.32062774896621704,0.002268778160214424
205941804.0,32.0,25.0,0.2487999818762395,0.15662407875061035,0.0018020352581515908
206132828.0,17.0,25.0,1.068116516278838,0.286413311958313,0.006134191993623972
206260857.0,1.0,7.0,1.461720823136814,0.3601084053516388,0.0023956429213285446
206225478.0,12.0,39.0,2.9190009255866824,0.5017731189727783,0.0015684895915910602
206517447.0,9.0,7.0,0.8751480134309708,0.2979535162448883,0.0025656966026872396
206110683.0,17.0,17.0,0.44295966410543136,0.20421341061592102,0.0016471376875415444
