epic_number,Period_1,Period_2,amp_ratio_21,k2_teff,k2_rad,k2_mass,abs_magnitude,bp_rp,bp_g,g_rp,lc_amplitude,p2p_98,p2p_mean,stddev,kurtosis,skew,iqr,mad,max_binned_p2p,mean_binned_p2p,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54,bin_55,bin_56,bin_57,bin_58,bin_59,bin_60,bin_61,bin_62,bin_63,bin_64,class,probability
205703649,8.114579151000001,0.676164918,0.08332717019793599,6085.0,2.31,1.42,3.5708413215135053,1.2957553999999998,0.5748491,0.72090626,0.3143246550811828,0.040751568005760026,-2.7206441927625648e-06,0.04221406002310083,24.29634490488287,-4.9510894490415405,0.0029715552653479804,0.002188037398064175,0.926735274196434,0.015442321342388331,0.0,0.1358378261345167,0.9871441803709621,0.9894000608927016,0.98827480082391,0.9847773767393596,0.9868014214231892,0.9881859905554852,0.983622517804922,0.9831260446843616,0.9872859812543128,0.99050314535561,0.9842115134428548,0.9835495933187935,0.9858312324931652,0.9883152561194422,0.9911301192526633,0.9836520528236722,0.9864652930075356,0.9907827602962525,0.9845772456711724,0.9918079739181584,0.9868609003062402,0.9879996724025228,0.9878299432345301,0.9878925570867272,0.980167388964198,0.980486601755213,0.9849979031026188,0.9861776640400868,0.9836697267924438,0.994265665500598,0.06753039130416418,0.11376381245191228,0.9938462065393148,0.9873442817752172,0.9907338191708293,0.989637191248292,0.9943494319990488,0.9926464478674624,0.9963450627628854,0.9896625407265184,0.9886250599914462,0.9896705260736252,0.9983087936549848,0.9899722570795474,0.9933543536771616,1.0,0.9973835305878492,0.9895052107388947,0.9902645639650972,0.9927838036087644,0.9907781162461295,0.9916595725346041,0.9960328439591516,0.991018813343518,0.984730538376134,0.9823406074332576,0.9854967458430212,0.9856234103650598,0.9845013487928768,0.9841195275345204,0.983654231791838,0.9728662445704648,EA,0.9877870000000001
202851823,0.9614508270000001,0.044661165,0.046451845217456975,6574.0,1.63,1.42,2.303627228693154,0.93537045,0.37260532,0.5627651,0.6973514530829994,0.2157463213789966,-0.00017963303487369435,0.22264117676640108,-1.4048720778906938,-0.22128338468001796,0.4308035666033532,0.3036529785355137,0.11869280231790247,0.00020849975841221572,0.0,0.00728207641240058,0.031262745754170436,0.08792143073383832,0.17075825328156582,0.27883852960171746,0.3975313319196199,0.4983935921587267,0.5834476101599545,0.6830010643701864,0.7646496073054811,0.8259501084947236,0.8868102315353834,0.9327972696719636,0.9708566369536492,0.9988992416628564,1.0,0.9922279438845982,0.9732187881772676,0.938494977558992,0.8947149490713349,0.828878612962487,0.7702218957744447,0.7025609889012598,0.6254126905192594,0.5451166693217139,0.4504191560526805,0.3591671806722801,0.2492309486396273,0.17255806501251084,0.10366981372034216,0.07345429516471555,0.05382853863829152,0.05743830857335047,0.08041998997040961,0.12774160111633295,0.19521747839011214,0.2895900879015705,0.3947953222798799,0.4997841440278898,0.5763957306481441,0.6590865599973651,0.7260493616452297,0.7910410804137049,0.8475520286147177,0.9029818497014293,0.9441586137542674,0.9678001298344922,0.9897660372668688,0.9906180955269422,0.9730455345604848,0.9437783406586642,0.909369891273312,0.8495896280012458,0.7823279395313574,0.7140297351962143,0.6329629068328014,0.5464696824974956,0.44391670309612014,0.33366015776303576,0.22868928100662425,0.1354785212815788,0.05607279369386888,0.013135484779969588,EB,0.983295
204787022,20.0,14.5536205,0.727681025,5273.0,1.04,0.88,4.320161796856336,1.2263098,0.5345459,0.6917639,0.02427514771464201,0.00267065990307949,-3.2475547803900416e-06,0.0017539018367283452,8.314166488163227,0.8257100756161191,0.0017514153966400323,0.0013002616930037425,0.5548882639797257,0.0032377550711774573,0.0,0.38864832154964535,0.7274737601871615,0.5444619782774065,0.4597457792888725,0.3759172158425728,0.4562715180329169,0.4560842216705785,0.3465672396387793,0.4295319234706708,0.3910951504899867,0.3714579533754386,0.3023611486959742,0.3947358997104185,0.3565163001599537,0.25882502986150857,0.31241583641225584,0.12508512238229855,0.3479231940812281,0.4358830559907316,0.310610768401205,0.43608715033212986,0.3104723279341263,0.5222202144001831,0.3070779498165615,0.265526104797278,0.6696814054255469,0.471814437905628,0.5299218305191917,0.4028907465437668,0.3901724171377204,0.945060681117446,0.8786613540481372,0.5157458650255552,0.503249129496994,0.4656756470036902,0.3784576568220475,0.4355468224727804,0.5510963117164075,0.5294563990039638,0.3996248876048468,0.6555284178719811,0.5710939384241475,0.5418645148092931,0.3386762998529345,0.4524525879029005,0.5120327739046856,0.8374008362655303,0.6467982205665324,0.4582688725951992,0.3636184294948033,0.4758310745025766,0.5721501440321476,0.3900283312550521,0.5366153989940611,0.6186280725692498,0.6800372344438229,0.8076904480316554,0.7678488383227506,1.0,0.5755899967861899,0.4754912014840669,0.4283575347048357,0.20397856948417994,Noise,0.983627
203819777,7.592636532999999,7.216704097999999,0.9504872341292674,5848.0,1.51,1.16,,1.5132027,0.6448183000000001,0.86838436,0.034000739019288684,0.002229016356878225,7.121346441534877e-06,0.00794490522201897,-0.9429503060580404,-0.09110121342649108,0.013270742921013712,0.009843512142154759,0.11214927197435738,0.0007396871051529743,0.0,0.07693657388772915,0.033412262831490555,0.14556153480584794,0.13056957659262752,0.15442535912702515,0.16775466595361746,0.17063981672063938,0.18466382013957788,0.19069950438409566,0.19651406777844,0.1914263819356412,0.17966711009661074,0.2395992844690247,0.260914620911782,0.3637367096374792,0.342915337526763,0.4163215026052287,0.4439818725849714,0.4591899268856041,0.5188261225680989,0.5691926917566718,0.5842384548575483,0.5966158475573998,0.6285802441653,0.6867850211630026,0.7052048136194569,0.7737987312946858,0.7551981851467375,0.7269165984117757,0.7252837237983295,0.7673447899061367,0.7804459231462665,0.8346711675830696,0.8555650821839726,0.8761275843102727,0.9138325684864844,0.9137454517953759,0.9449088236773586,1.0,0.968969685055442,0.9094951133951552,0.9420003275067584,0.9130317321257692,0.8975735393800023,0.8202128039240603,0.840651277991973,0.787517889322248,0.7593535722766435,0.7134671773597155,0.6789274273807072,0.6070190709560094,0.5095703377221087,0.5005516358263056,0.481832626785346,0.42079354046515216,0.3937972410827896,0.3402070953114863,0.2525355858054623,0.2501530022131921,0.16158423289988158,0.13455634709286846,0.09225722873903718,0.046600287624637436,OTHPER,0.991135
204185956,15.39192304,16.33270241,1.0611216264241403,4784.0,10.51,1.38,1.0667767468194924,1.4064988999999999,0.6578417,0.7486571999999999,6.1990069387677975,0.024677437012518382,-3.10096135864285e-06,0.3220318674530043,93.1510378176482,8.31232660220395,0.06514750304939865,0.04703088097721299,0.3069150198756342,0.00011522146367903344,0.0,0.20555334937224204,0.22033637158437847,0.20855972765489847,0.21941720837927528,0.2242186114995404,0.2199932109088196,0.23323170706067306,0.2316364088825991,0.2323170095503465,0.2397165479335479,0.2349067818153545,0.2338460195398209,0.2358182834321195,0.2331233704797286,0.2376690315385319,0.22246101315361885,0.22618712001475924,0.21727812899769053,0.2275060145515415,0.21971594827458674,0.2561499837575154,0.2529855162295521,0.24827527787241296,0.24611374718065795,0.2639027650738605,0.2508343035501668,0.3056642523450854,0.5421343984340543,0.6930849801243658,1.0,0.8374418662090204,0.6976420661396613,0.4708430428730208,0.3182437078006378,0.2458679736176027,0.22924145578856,0.2375646219809017,0.21854491446123925,0.2319462216989915,0.22787074248072345,0.2216452330125417,0.218278363016026,0.2297204656541077,0.22106619672367125,0.2232995084645032,0.2273880726881259,0.22347777697811896,0.22345794830600246,0.22058312252099932,0.2152600138192897,0.2176310501912832,0.2075843124978616,0.21152613013586824,0.21899307506851864,0.2226969119195054,0.21643158591676295,0.2188222683030005,0.224733098021506,0.20251506834395352,0.020108569584713337,0.06696307435905273,0.02759309207152616,0.00725895221177912,EA,0.938837
202683805,16.68669267,8.801356911000001,0.5274476545507086,4586.0,20.24,1.01,-1.267377082984332,2.0875816,1.0669775,1.0206041,0.0250009749723773,0.0015691026707416974,-6.703770587622735e-06,0.005148881186264405,-0.2078615885379027,-0.4099892457071903,0.006643521844976853,0.004934480622958815,0.3061307413254241,0.0011148821108484897,0.0,0.027978443441435626,0.09171687745724458,0.11473364393306552,0.242329093836298,0.3723289949141808,0.5342461218915598,0.482705058018427,0.3330037280478385,0.468071372500609,0.4905630107673948,0.7246329398030843,0.8036848187929765,0.8246293219403834,0.9299505115342979,0.9453196944723582,0.998019835861602,1.0,0.9802313601497726,0.9982903434285384,0.9571694564807668,0.8932112878312201,0.7278409990583675,0.6933000625193184,0.5587170205920132,0.5600589376635229,0.5079150884474641,0.5129472530558045,0.5241159324354366,0.5243768240124618,0.4701749613948852,0.4218916934133857,0.2645314058984042,0.3467679441982185,0.3851920136565124,0.34424511543159525,0.44455947430852794,0.5601410001324881,0.5708624342305811,0.5435063732404417,0.5480883317657316,0.4529518790910128,0.7590826204164369,0.6430557457928963,0.7772248186672325,0.6849102029930476,0.7381840247294619,0.7645211726553061,0.7561119005718417,0.7575249652864028,0.7533374787062593,0.7665819306669014,0.7352889520909534,0.8078886965175378,0.7772002542643722,0.6909871352730153,0.6581299412048526,0.6062357364128544,0.5237418641641652,0.4307816822047702,0.3330184080659075,0.22180940398491664,0.11574575947742667,0.07023757298345495,OTHPER,0.996007
203026255,0.043156077,0.046643902,1.0808188612695264,7700.0,1.94,1.83,2.3023509920194805,0.9111414000000001,0.3644352,0.5467062,0.03903290329982445,0.02846069571310875,3.246302616944214e-06,0.008122033771300113,-0.8145387873246746,-0.009037954901703848,0.011634900526991787,0.008619824442400708,0.10460901550612167,0.0007329243625241961,0.0,0.02810519508175792,0.06317533802591953,0.060730046470121465,0.08021839522944353,0.12747414126205095,0.1648522345784472,0.1917289968263622,0.2709724176033065,0.20457823604165304,0.30179207084735504,0.3611855128991633,0.3905682158441736,0.4288310509247634,0.4754322672447725,0.5378394425576878,0.5473103225017114,0.6217153913177978,0.645096447814708,0.7488555639971037,0.7426373027090822,0.7653056485419709,0.8139782033089471,0.8441037320003387,0.8642031185479218,0.883327482592213,0.9445109102864891,0.9340305122064746,0.9226003381563048,0.956209082269201,0.9647167385529758,0.9461571265169978,0.930327307300792,1.0,0.9311407718752308,0.9066936123484992,0.8774791908427818,0.8973402000535449,0.7927311845474232,0.8352206062808599,0.8187877729274374,0.7214390982358101,0.6826092651865551,0.6506515201234947,0.5769891329043229,0.5531310940366755,0.5248852026361582,0.44897964179022654,0.4084416431080442,0.31625257372428145,0.3236781626957819,0.2783711333002481,0.2339306630939512,0.20095545501388606,0.1959763105617674,0.10991946344425334,0.0903165157353948,0.11373874686912253,0.054384851148219504,0.08250003892258463,0.014545727935991924,0.029505547870760707,0.001242724201335679,0.04617423483902438,DSCUT,0.931984
205405404,0.643356936,0.214425996,0.3332924291345481,6482.0,1.51,1.33,2.9652703216476564,0.7750807,0.2949171,0.48016357,0.5454452977439387,0.189167255476668,-4.9639380899990385e-05,0.15664120972124632,-0.6832398490207505,-0.7088587377161032,0.2480215314384008,0.16340663082625712,0.1392780769972895,7.119763479398378e-05,0.0,0.01810518676944696,0.06697730284101631,0.1597646167523245,0.2767757502934506,0.4069205934280693,0.5263985316305759,0.6364234242183314,0.7246538490789103,0.7948029724706571,0.8485515461536743,0.8972279976702696,0.9337386549144192,0.9668045112301592,0.9919013830255792,1.0,0.9969186936548772,0.9864200866448388,0.9623143403881104,0.9322376523874426,0.8985721166267453,0.856969960097771,0.8104673084981732,0.7569529874687454,0.6932326953617967,0.6164060892602753,0.5430190622805862,0.4759230100041104,0.40589326531442144,0.367813688890291,0.3855449696521476,0.37924330920850535,0.3729416487648631,0.3666399883212209,0.36830762112396265,0.4157433424572571,0.4780773878555668,0.5469368955107696,0.62025828677753,0.6895935668874696,0.749323029517325,0.8059285714396729,0.8510725882823432,0.8907200926773038,0.9269593274273572,0.9595490536594736,0.974957458248444,0.9963237643427542,0.9933110578893068,0.986974291670735,0.9605824457947488,0.9347956083664448,0.8960860635862141,0.8499969772969664,0.7972176834292733,0.7241722167189286,0.6316757247663002,0.5211312083214977,0.4059147589085768,0.2666366819112873,0.15260823407335236,0.05959122904186346,0.015554903825143638,0.0044854509920209855,EB,0.9995430000000001
203656237,0.115518372,0.081637816,0.7067085052064273,6806.0,2.02,1.57,2.6172590684601857,0.8564606,0.35127926,0.5051813,0.030718729192931612,0.016338131678642582,1.0182642999101704e-05,0.005551829973177882,-0.2746862740489022,0.09739739478695376,0.0074450867258031295,0.005554413107598658,0.35380486390131805,0.0023854248003649173,0.0,0.14462074867817354,0.2231090903248102,0.28631602598137323,0.015907047019209804,0.1877612107050922,0.19571299792486607,0.2353763683719569,0.1738927016017276,0.369982170730134,0.3528048308272511,0.4498891794057758,0.22469823040751005,0.3561150861820334,0.4992175521934792,0.4859927639721322,0.4420437309014789,0.3622057783734308,0.582164806121629,0.5178876268945782,0.5181926049253521,0.6175337931534499,0.9614809899052744,0.7033561143427988,0.7083717887257059,0.6733339909783878,0.7498619821776275,0.8833910991861915,0.5962795928472766,0.7721828684122466,0.8998183193627629,0.9602392223178932,0.641912634936318,0.8169981347008289,0.8030795363189246,1.0,0.6931498428833088,0.6293492757824617,0.7959562326461228,0.7863848173595943,0.4978906312158328,0.6045584213856834,0.8719543691426409,0.5181495052413229,0.5331347896757178,0.4270977325090309,0.5724671278354228,0.4656735080911087,0.3437871080247916,0.27192252895789104,0.6219191405007009,0.3212306700058361,0.18169250316576604,0.3155569927877616,0.2660527813235029,0.2296583986107996,0.017817355488491688,0.16536792327623925,0.3081988063702537,0.1529683457429527,0.10694320131295673,0.15744961259752469,0.13915638211046033,0.1502817624229897,DSCUT,0.981323
205495245,0.468915239,0.078174735,0.16671399967020478,,,,3.8970921398441725,0.6326618,0.12249565,0.51016617,2.9153694992327885,1.705012798790522,-0.0003694789992537084,0.7706569434160596,0.2586775377532988,1.1793955663196367,0.9519317931258354,0.4176785822541761,0.22672645840045916,6.0190849782090966e-05,0.0,0.007838805601379912,0.0415217099726841,0.11980340181426258,0.26619786058990524,0.4731289713243359,0.6942620196541993,0.9209884780546584,1.0,0.9969867097531429,0.9766891343530802,0.8962334865059979,0.8254808244784272,0.7720983574405597,0.7137860019497856,0.6538805080912329,0.6082564942709477,0.5552074521456091,0.5264070959185929,0.4928277549152555,0.440822129756082,0.4297216706981617,0.39169545202522144,0.36212511613316894,0.3451623846350865,0.3322286200007968,0.33093949625333674,0.31020016883405976,0.28271242897443993,0.2504396124337258,0.2273653680357296,0.20554648113080026,0.1928337803193048,0.1838791489467577,0.17049356639930685,0.15259040136748522,0.1380440353052946,0.12446071697180178,0.11429874761911984,0.1020003319852446,0.09546400739513236,0.08577224958166789,0.07507892340921034,0.07077488462416194,0.06309221549834443,0.0651630939507464,0.059295737961206886,0.05870263545899339,0.059433141436751276,0.0564118722436239,0.06246633644288354,0.060994161720921834,0.05823961132190913,0.05960180922266864,0.05768873453917341,0.0527477601808192,0.05437284641053531,0.05999617917136536,0.057390926951819216,0.05090553134834778,0.0391004764477882,0.020342691570094086,0.007528944464345897,0.0037920235362717374,RRab,0.9910200000000001
