epic,class,prob,float_x,float_y,temp_dist
201488365,EA,0.98383,13.656614970815252,0.3038344537475567,0.8494457900739851
201893576,EA,0.714268,14.800019144457622,0.055874014561251815,0.291644592854689
201738572,OTHPER,0.994142,31.29745960451101,13.203291040259105,0.1608933023406965
201927024,EB,0.923997,26.445760658306373,33.621990666186534,0.19104296609989577
201407812,EA,0.7756109999999999,14.200111581867846,3.358725249566762,0.4759919981396564
201610811,EB,0.900755,1.8944146124313888,17.61569631745211,0.03716220205629337
201531578,EB,0.936976,25.330616316852613,30.79682525806303,0.2928955374242427
201271106,OTHPER,0.992301,12.107672644136395,16.335970220087674,0.20054590706526487
201902310,OTHPER,0.990096,24.040788559176463,14.448306144699071,0.09459616368963016
201762815,EB,0.995939,24.248907086095258,15.779886154562648,0.04875571049095864
201592061,EB,0.995666,2.6669688873011506,16.22376847810453,0.04243533708131092
201789080,OTHPER,0.990724,28.351224803538432,12.570795418110995,0.31033016806661146
201325244,OTHPER,0.990063,13.267878937507165,25.48153196155783,0.41325093075238706
201368515,EA,0.748617,15.814618708422236,3.4632253847453223,0.2904191050902638
201648133,EA,0.972627,12.8573670967734,1.8138955802763415,0.5562246247782279
201739972,DSCUT,0.958212,5.530928649439299,29.056945141426922,0.619031326511942
201607088,EB,0.982095,17.263166699060196,39.66824223386657,0.34403485311179494
201689490,OTHPER,0.991966,29.587693706611326,20.97676602169082,0.14406404438702192
201398311,RRab,0.832359,34.58755066441783,36.66356616618443,0.7327053098667932
201608319,OTHPER,0.993466,39.51690693255536,4.311394017702416,0.7620220537996123
201749821,EB,0.998527,19.307704772654482,39.01553706010256,0.6126860735628201
201238932,DSCUT,0.936373,3.2494192754431515,19.11257419447988,0.04219219377483627
201273981,OTHPER,0.993277,30.705119704897083,14.296467704841998,0.3825793475170559
201780233,RRab,0.716609,36.831940492147666,38.66555926152795,0.10374304750782949
201700978,OTHPER,0.994007,10.90241589387434,25.032397668503396,0.5386795298740048
201803365,EB,0.967434,21.234090456868422,35.985007200524414,0.10247843802111345
201562530,EA,0.7187640000000001,15.3157455494355,27.049520880266158,0.9590957915320893
201517854,EB,0.911546,25.740640882232572,32.448160565100764,0.5245700113049274
201476362,EB,0.983152,20.679331702087175,35.27783106254391,0.31342419392455195
