epic_number,Period_1,PeriodAmp1,P1 0.5 Harmonic Amp,P1 2 Harmonic Amp,P1 3 Harmonic Amp,P1 4 Harmonic Amp,P1 5 Harmonic Amp,Period_2,PeriodAmp2,P2 0.5 Harmonic Amp,P2 2 Harmonic Amp,P2 3 Harmonic Amp,P2 4 Harmonic Amp,P2 5 Harmonic Amp,Period_3,PeriodAmp3,P3 0.5 Harmonic Amp,P3 2 Harmonic Amp,P3 3 Harmonic Amp,P3 4 Harmonic Amp,P3 5 Harmonic Amp,Period_4,PeriodAmp4,P4 0.5 Harmonic Amp,P4 2 Harmonic Amp,P4 3 Harmonic Amp,P4 4 Harmonic Amp,P4 5 Harmonic Amp,Period_5,PeriodAmp5,P5 0.5 Harmonic Amp,P5 2 Harmonic Amp,P5 3 Harmonic Amp,P5 4 Harmonic Amp,P5 5 Harmonic Amp,Period Doubled,1% Sig. Level
203783195,0.780511106,0.118256418,0.012062571,0.008541186,0.004526415,0.004022448,0.001560411,0.849130558,0.108858832,0.011437074,0.005341017,0.003768917,0.004022448,0.001221916,4.239680691,0.030636593,0.019470363,0.009108553,0.011247322,0.023430693,0.012328187,1.132941121,0.020979037,0.003974799,0.009544984,0.008541186,0.001650988,0.003533788,9.88683909,0.020963261,0.018479065,0.01168205,0.0052987,0.007830927,0.011437074,0,0.012609685
203724283,11.68883748,0.023664893,,0.006564556,0.009589221,0.0079168,0.00995876,12.31743893,0.018924249,,0.006564556,0.006628469,0.007834845,0.007834845,11.12128014,0.017194158,0.005797715,0.006564556,0.002673952,0.007834845,0.011568302,0.244996658,0.016183188,0.008491178,0.004269749,0.004771276,0.00689807,0.003164898,1.012078043,0.012506687,0.011568302,0.008491178,0.007894327,0.01016984,0.008281975,0,0.016014138
204676841,3.065097094,0.059493245,0.007314493,0.044704386,0.024606309,0.045842377,0.042410062,0.254808728,0.026465894,0.005436248,0.00968715,0.003584485,0.003673158,0.00316287,0.190774283,0.024419574,0.004825485,0.004485873,0.003673158,0.002742068,0.002634136,0.16965826,0.023239977,0.004309844,0.003056167,0.003673158,0.002634136,,20,0.022511361,,0.002885783,0.009600706,0.010363129,0.006724274,1,0.012458004
205089975,0.054304619,0.246545377,0.001945909,,,,,0.047200034,0.160651326,0.001945909,,,,,0.080461973,0.007025114,0.001896038,0.004146898,,,,0.044692289,0.004146898,0.001291094,,,,,0.069741487,0.003041386,0.00049025,,,,,0,0.012144998
202643279,2.343721151,0.536957655,0.133787081,0.0624281,0.051140679,0.042720483,0.018837063,0.468641113,0.022315176,0.004809731,0.010057885,0.00181311,0.003205274,0.001036817,0.779751915,0.022085687,0.007241748,0.002629828,0.010057885,0.010243771,0.00181311,0.334846139,0.018324049,0.003256533,0.00181311,0.003205274,0.001357143,0.00167339,2.488956588,0.010344281,0.003744124,0.009517406,0.004076098,0.002373215,0.002720234,1,0.012220112
204470067,1.823660714,0.196790818,0.001278058,0.140239454,0.014949328,0.112872615,0.011827952,0.307843273,0.11162112,0.001555347,0.028320146,0.019090011,0.004253557,0.002754103,0.230817805,0.066393475,0.002428174,0.020250533,0.004253557,0.001070328,0.001976582,0.184708304,0.036316689,0.002310013,0.00720856,0.001214465,0.001976582,0.001976582,1.919738829,0.031375651,0.001278058,0.007669547,0.00194928,0.002428174,0.002164663,0,0.012692862
203976840,20,0.040042654,,0.022823478,0.034561249,0.021241889,0.016606672,7.026928109,0.034561249,0.015807436,0.020870588,0.02188154,0.016317998,0.017431693,18.82580772,0.028398567,,0.023664899,0.021241889,0.006596782,0.014295939,8.475664938,0.023664899,0.018509594,0.006596782,0.016703819,0.02188154,0.017431693,5.702341882,0.021241889,0.01895351,0.016703819,0.007193343,0.017431693,0.012311989,0,0.012248577
202679718,0.454503489,0.962384762,0.012493327,0.041418848,0.006028078,0.005072203,0.005379082,0.26654274,0.006682526,0.002136918,0.003816919,0.004418989,0.005072203,0.005379082,0.049824119,0.005379082,0.001874929,,,,,0.060097782,0.005072203,0.000890937,,,,,0.083954794,0.004418989,0.002910372,0.000808755,,,,1,0.013167894
204105782,16.67238347,0.052882973,,0.029030538,0.014858112,0.00424838,0.005314227,20,0.051367259,,0.013886709,0.025131915,0.014858112,0.00424838,1.96202564,0.050298011,0.00475289,0.006912036,0.004298244,0.004481739,0.002796027,17.58679124,0.04845954,,0.029030538,0.014858112,0.003889701,0.00475289,15.84836353,0.046443126,,0.029030538,0.014858112,0.002611878,0.002641432,0,0.012481015
204820375,11.35762667,0.832280055,,0.044080374,0.013958111,0.006023253,0.005457184,12.03994607,0.658162555,,0.033682121,0.013958111,0.009728473,0.002686905,10.74849545,0.62091436,0.002208695,0.033682121,0.010783879,0.002686905,0.001330199,12.70795757,0.327867257,,0.012369776,0.012526156,0.008421615,0.002589623,10.20137616,0.250213618,0.006076766,0.012526156,0.008421615,,0.002121843,0,0.012838136
203749720,0.345420673,0.978692259,0.015314895,0.013023436,0.004728928,0.004216815,,0.071725796,0.006749174,0.002930439,,,,,0.583406958,0.006421453,0.000289685,0.000989495,0.001875898,0.002930439,0.001164444,0.423462414,0.006033405,0.000360821,0.000925174,0.002930439,0.005327718,0.004707719,0.053526849,0.004728928,0.000705771,,,,,1,0.011857546
203463506,0.695851196,0.780688175,0.275168497,0.098271475,0.010717295,0.01824345,0.003797348,0.231953166,0.153093379,0.001590048,0.002829001,0.003797348,0.002987337,0.003662002,0.139173228,0.063552598,0.002499772,0.002615901,0.002987337,,,0.099403692,0.01824345,0.003173658,0.002987337,,,,0.851385089,0.004319888,0.001002372,0.002390097,0.002499772,0.002592116,0.002592116,1,0.013484777
203929178,0.892126546,0.206894174,0.00115812,0.007562938,0.050745443,0.049386719,0.023443508,1.154145564,0.204765431,0.002759837,0.103106374,0.088119037,0.005278994,0.004670991,0.192399713,0.023443508,0.002760696,0.007833768,0.008599005,0.002726269,0.002726269,0.671351681,0.022927511,0.005272917,0.005278994,0.004296701,0.013819706,0.005831744,0.076922029,0.009269643,0.005831744,0.002726269,,,,0,0.012552039
204780832,0.463895263,0.681606068,0.000839904,0.133673366,0.053227069,0.015047365,0.005880018,0.521200448,0.006424081,0.000454938,0.001223229,0.004502661,0.0009383,0.00280937,0.044810955,0.004632782,0.00280937,,,,,0.099182319,0.00280937,0.000640828,0.002699112,,,,0.054146897,0.002699112,0.000533003,,,,,0,0.0118175
203542570,20,0.171408764,,0.149273054,0.008675623,0.039188951,0.041132583,18.82580772,0.139939923,,0.135457389,0.006493745,0.039188951,0.041132583,10.53658403,0.135457389,,0.009742189,0.016883371,0.006487551,0.007032381,17.7818426,0.131003027,,0.016000368,0.006110746,0.018167872,0.012889719,16.8475781,0.117803967,,0.016000368,0.006110746,0.007081965,0.017278472,0,0.012391258
202674012,7.779888263,0.076379083,0.003433799,0.063680782,0.05712566,0.044582617,0.035577703,5.826682043,0.071954836,0.06574256,0.065535902,0.005565584,0.05712566,0.04924279,2.326436642,0.060795373,0.003928523,0.044582617,0.035577703,0.025073385,0.014387434,1.664614744,0.056269591,0.007438446,0.039717773,0.020981327,0.008369903,0.006309322,11.0446688,0.052175544,0.003849917,0.027223001,0.007438446,0.004878759,0.004299695,1,0.01285798
203964886,6.001156503,0.043767302,0.02323737,0.014945361,0.011109516,0.010804372,0.006256285,5.202728794,0.03398897,0.011747489,0.006912042,0.006838257,0.005177074,0.006256285,14.1678043,0.02553373,,0.017327036,0.014152093,0.011096726,0.006912042,14.96103795,0.022427414,,0.014055771,0.00981537,0.011124321,0.006397775,18.3938494,0.020802618,,0.010416166,0.014055771,0.011815211,0.006397775,0,0.012020482
203593664,0.688949253,0.351792046,0.002420892,0.005208823,0.001754626,0.002873933,0.002413068,1.09129922,0.184298223,0.00544004,0.016171538,0.005208823,0.001429647,0.002041269,0.641533707,0.147596526,0.001678989,0.002798558,0.002041269,0.002413068,0.001070074,0.88279347,0.065603811,0.002132806,0.003313061,0.00108303,0.002041269,0.002041269,0.78741094,0.049762445,0.002420892,0.004836745,0.001232252,0.002041269,0.002413068,0,0.011921649
203692906,0.701611739,0.660297036,0.000647913,0.18616393,0.072636866,0.028514825,0.008765741,0.104407484,0.006523264,0.001614155,0.003271996,,,,0.377054645,0.006330148,0.005250931,0.001614155,0.002557424,0.002744845,0.003454925,0.814615948,0.005250931,0.000895755,0.00191802,0.00146611,0.001549314,0.005112422,0.148671552,0.005112422,0.001550045,0.003454925,0.003271996,0.00056281,,0,0.012124596
204966750,0.381541079,0.399928764,0.006478098,0.041105799,0.00083727,0.002907049,0.002194667,0.411823945,0.107411403,0.001730134,0.003945087,0.00412701,0.001475337,0.000706036,0.686001454,0.006478098,0.00124191,0.00399311,0.002804685,0.003136044,0.00412701,0.150796997,0.00412701,0.001278415,0.001794543,0.003127797,0.000493953,,0.362805771,0.00399311,0.002904106,0.003136044,0.000616133,0.000375203,0.001794543,0,0.011843289
205717017,20,0.022468899,,0.0146881,0.012384758,0.002805133,0.008577393,18.82580772,0.020812958,,0.014152809,0.008881673,0.002691952,0.003164244,17.7818426,0.018451697,,0.008024881,0.002805133,0.00240912,0.002924028,15.84836353,0.017835968,,0.009923693,0.002546797,0.001071088,0.013688941,0.410874109,0.017491302,0.013163381,0.007839177,0.004249051,0.003670269,0.002912967,0,0.012572655
204199860,0.043892118,0.180830974,0.028850181,,,,,0.075225737,0.084895707,0.007271436,0.000648816,,,,0.062387184,0.065341476,0.044868008,,,,,0.046908652,0.055008882,0.036567809,,,,,0.069823492,0.051454047,0.033336935,,,,,0,0.011916737
204230492,16.67238347,0.30747528,,0.018076842,0.02124668,0.006446886,0.004271706,15.84836353,0.283203992,,0.017531753,0.01280853,0.006322492,0.005756745,17.58679124,0.277298981,,0.012399809,0.017771319,0.004930043,0.001978857,18.60732198,0.20932077,,0.012399809,0.017771319,0.004930043,0.001867397,14.96103795,0.196027952,,0.004261672,0.00363074,,0.005756745,0,0.012103929
205043428,1.339246166,0.597152494,0.003102217,0.088482509,0.001270408,0.003392353,0.003392353,1.272292622,0.026200096,0.003102217,0.001834195,0.001732774,0.003392353,0.001121871,1.409908537,0.025917196,0.000730531,0.003332512,0.00090027,0.002450516,0.003392353,19.27854202,0.011061061,,0.001748059,0.002337096,0.002379183,0.002379183,18.18521939,0.009687096,,0.000798229,0.001088412,0.002379183,0.001001342,0,0.01243332
205123245,14.96103795,0.804930728,,0.096896013,0.018475404,0.005120712,0.005120712,15.84836353,0.694805062,,0.096896013,0.018475404,0.002444569,0.005120712,14.1678043,0.660791542,,0.029925551,0.001117755,0.005098628,0.001961772,16.8475781,0.44023451,,0.096896013,0.014347048,0.001075429,0.005098628,13.45444989,0.362427391,,0.004449618,0.001075429,,0.004300464,0,0.012022461
204951319,18.60732198,0.036387177,,0.017708495,0.019209808,0.016436544,0.015198167,17.58679124,0.033990198,,0.016865833,0.019209808,0.016416086,0.013696232,19.75358815,0.033660145,,0.017708495,0.017724374,0.018868232,0.015198167,16.67238347,0.025589806,,0.01697151,0.018868232,0.015198167,0.013971196,1.440306373,0.019142824,0.014736154,0.015972964,0.016309561,0.016472143,0.016215183,0,0.012298207
205558024,0.567707121,0.678654371,0.001293599,0.167134113,0.057693395,0.019639943,0.004806055,0.43213673,0.007449789,0.001477967,0.002973144,0.0058932,0.002959113,0.002482605,0.156447379,0.0058932,0.001577957,0.000851077,0.00177512,0.003419051,,0.171381109,0.003996942,0.002060296,0.002482605,0.00177512,0.003419051,,0.490881071,0.003887246,0.000638467,0.002973144,,0.001388795,0.002959113,0,0.012069336
202844711,6.176451665,0.187067178,0.00380687,0.121703155,0.09927527,0.088251943,0.079090212,0.514510168,0.056891339,0.007267051,0.012597885,0.002342096,0.002726846,0.001591007,0.441173852,0.047730084,0.007267051,0.00629069,0.002061359,0.002726846,0.001127809,0.385856775,0.031439811,0.004247817,0.002342096,0.002726846,0.001127809,0.001397403,0.342866123,0.022250856,0.003856205,0.002031843,0.002726846,0.001080234,0.001763895,1,0.013546989
203942067,3.284892736,0.194826436,0.017756273,0.12873189,0.111433458,0.097868078,0.084085276,0.273359498,0.080531075,0.006190463,0.02216725,0.002616905,0.001934337,0.001580615,0.234291962,0.060538076,0.0053385,0.010892214,0.001985165,0.001762218,0.001644785,0.205021065,0.050661383,0.0053385,0.004538639,0.001762218,0.001580615,0.001439743,0.182251731,0.040191857,0.004758545,0.001985165,0.001762218,0.001439743,,1,0.01494842
204778376,0.481591803,0.624132105,0.00141983,0.154768578,0.073250419,0.028190092,0.011776912,0.508150469,0.00720045,0.001033776,0.001264267,0.001227626,0.000869736,0.000698718,0.080252543,0.004574506,0.000994314,0.002652283,,,,0.054380137,0.003907132,0.000698718,,,,,0.044652459,0.002652283,0.000531268,,,,,0,0.011777128
204236712,0.692221232,0.017721961,0.004100855,0.007475964,0.007387579,0.007933554,0.004835313,0.987152544,0.01657853,0.00988071,0.007297885,0.006544465,0.007970811,0.0076019,11.12128014,0.016237597,0.000918819,0.012986474,0.010452506,0.010827842,0.011627988,6.566457184,0.01539289,0.014645778,0.009132145,0.011627988,0.009486872,0.004100855,10.53658403,0.014854633,0.000918819,0.009095452,0.007699234,0.011627988,0.010477887,0,0.015460698
203596245,0.461624649,0.549366335,0.001127871,0.093961423,0.032566202,0.011603656,0.007004833,0.523412411,0.016061185,0.001093199,0.001877598,0.005120409,0.001736179,0.002272636,0.076922029,0.00514412,0.001350548,0.000863913,,,,0.409614456,0.003321338,0.001348581,0.001310498,0.001736179,0.002272636,0.00101404,15.39192304,0.003266034,,0.001052273,0.000670829,0.002123121,0.001292751,0,0.012122502
202872758,14.04370486,0.780406592,,0.031724296,0.009412175,0.005100835,0.003100868,13.34248336,0.686699694,,0.031724296,0.005410928,0.004435104,0.00324443,14.82272104,0.658798743,,0.01251787,0.009412175,0.002127929,0.001893301,12.60802469,0.410982242,,0.010214172,0.001628438,0.000998561,0.003311598,15.69323825,0.386297089,,0.019484559,0.009412175,0.001628438,,0,0.011865517
203011840,20,0.036438185,,0.034764032,0.028331784,0.02697458,0.027663152,11.95020618,0.035381628,,0.026230931,0.026308341,0.025959749,0.025344924,11.35762667,0.034764032,,0.026371317,0.025792647,0.025959749,0.025239169,12.60802469,0.034231309,,0.025863684,0.02697458,0.025959749,0.025344924,18.82580772,0.034229018,,0.034170329,0.025863684,0.02697458,0.025059533,0,0.012848082
204576757,7.739237343,0.022659982,0.000964118,0.018483799,0.017577645,0.017957828,0.018309476,5.826682043,0.022066329,0.01934244,0.017511616,0.017957828,0.018309476,0.016913451,1.662888261,0.018309476,0.017519044,0.016756124,0.015226131,0.013875742,0.011731483,4.658518092,0.018081498,0.006699237,0.017957828,0.010942366,0.016913451,0.016952238,2.114709454,0.017957828,0.001503756,0.016913451,0.016411653,0.015226131,0.013875742,0,0.011925834
204556512,0.487448509,0.198762642,0.003270288,0.005970176,0.008890548,0.001836492,0.00291823,1.531085025,0.069332897,0.005407695,0.011307381,0.009389058,0.02590732,0.002223866,1.61433262,0.06780431,0.004888694,0.011307381,0.009389058,0.018775271,0.00740754,1.440306373,0.027759434,0.014736916,0.007067453,0.00670099,0.00740754,0.002632119,1.314001495,0.025499609,0.016038212,0.00747983,0.00590011,0.001045429,0.002632119,0,0.012007523
