epic_number,Period_1,PeriodAmp1,P1 0.5 Harmonic Amp,P1 2 Harmonic Amp,P1 3 Harmonic Amp,P1 4 Harmonic Amp,P1 5 Harmonic Amp,Period_2,PeriodAmp2,P2 0.5 Harmonic Amp,P2 2 Harmonic Amp,P2 3 Harmonic Amp,P2 4 Harmonic Amp,P2 5 Harmonic Amp,Period_3,PeriodAmp3,P3 0.5 Harmonic Amp,P3 2 Harmonic Amp,P3 3 Harmonic Amp,P3 4 Harmonic Amp,P3 5 Harmonic Amp,Period_4,PeriodAmp4,P4 0.5 Harmonic Amp,P4 2 Harmonic Amp,P4 3 Harmonic Amp,P4 4 Harmonic Amp,P4 5 Harmonic Amp,Period_5,PeriodAmp5,P5 0.5 Harmonic Amp,P5 2 Harmonic Amp,P5 3 Harmonic Amp,P5 4 Harmonic Amp,P5 5 Harmonic Amp,Period Doubled,1% Sig. Level
201488365,6.734215176,0.185225763,0.002132587,0.141076525,0.135914022,0.123635261,0.110462107,0.560757627,0.096243836,0.003287572,0.034871202,0.005180993,0.000773494,0.000773494,0.480581318,0.084821275,0.003287572,0.019071749,0.001033952,0.000773494,0.000715112,0.42046399,0.069939437,0.002731269,0.008272931,0.000773494,0.000603202,0.000861451,0.373802026,0.058446107,0.002731269,0.003052532,0.000773494,0.00065657,0.000823646,1,0.008779336
201893576,0.92994307,0.200763962,0.062891192,0.170007688,0.138940149,0.103577521,0.070876007,13.80191578,0.043544289,,0.004360268,0.00198014,0.001204236,0.000899352,0.077483364,0.040468966,0.003782874,0.001292702,,,,13.12404942,0.032515712,,0.003642639,0.001827286,0.001204236,0.000737887,14.5536205,0.032159759,,0.002968103,0.000500069,0.000765838,0.000899352,1,0.012256062
201828402,19.27854202,0.192359313,,0.07645887,0.007182564,0.004506943,0.004246976,18.18521939,0.146298884,,0.023869958,0.005548505,0.004246976,0.004246976,17.20925021,0.090656942,,0.011243664,0.004589301,0.004246976,0.002739012,15.84836353,0.078356583,,0.006886513,0.003659668,0.002714496,0.001925627,10.8945696,0.07645887,,,,0.003706724,0.003072168,0,0.00981703
201738572,13.01749271,0.782482444,,0.035596141,0.006622654,0.00293595,0.000606156,12.31743893,0.552130495,,0.035596141,0.003056327,0.000954015,0.001373764,13.80191578,0.536842368,,0.011485635,0.012705191,0.002975458,0.000440879,14.5536205,0.174933572,,0.031225821,0.012705191,0.002975458,0.000179132,11.68883748,0.137946005,,0.035596141,0.001763693,,0.001373764,0,0.008908954
201387169,18.3938494,0.191384059,,0.012866563,0.003073167,0.00134321,0.001556443,19.51317428,0.141735582,,0.034717853,0.011137862,0.001426634,0.001052387,17.39597255,0.133461955,,0.012866563,0.001426634,0.001052387,0.002319661,13.92176057,0.079927783,,0.011137862,0.000793366,0.002319661,0.003409431,13.232365,0.049388761,,0.011137862,0.000793366,0.002439128,0.003487779,0,0.008526103
201720109,19.27854202,0.169504019,,0.026402401,0.006577766,0.005191474,0.002570588,18.18521939,0.146738775,,0.026402401,0.005027891,0.005166095,0.00346891,17.20925021,0.09678481,,0.026402401,0.005191474,0.002570588,0.00346891,16.33270241,0.058533737,,0.010319175,0.005191474,0.001917169,0.003166146,15.54112028,0.049465972,,0.010319175,0.004987644,,0.002548717,0,0.008563422
201552857,14.96103795,0.083515679,,0.034655549,0.003965247,0.004164095,0.005087053,19.51317428,0.064436267,,0.022625467,0.010608845,0.002091917,0.004164095,14.1678043,0.056396215,,0.031503781,0.002091917,0.004164095,0.002075108,18.3938494,0.051680114,,0.034655549,0.004608489,0.00105147,0.000997751,15.84836353,0.04970052,,0.034655549,0.002730925,0.000912431,0.001550558,0,0.008578086
201927024,0.237294305,0.954378356,0.039692283,0.002797437,0.000136863,,,0.262613469,0.003512813,0.000141845,0.002313595,0.003437707,0.000162379,0.003059378,0.079956381,0.003437707,0.000170651,0.000136863,,,,0.04839392,0.003059378,0.000154601,,,,,3.692832929,0.002864541,0.00016667,7.10E-05,7.02E-05,6.59E-05,0.000104743,1,0.008545088
201882460,18.18521939,0.170203459,,0.011851064,0.012962471,0.006118824,0.003863588,19.27854202,0.132148922,,0.011015007,0.012143598,0.01297036,0.005893627,17.20925021,0.129273303,,0.007306724,0.01297036,0.005893627,0.003240623,16.33270241,0.046713087,,0.007826189,0.01297036,0.001739029,0.00359604,13.92176057,0.041324764,,0.007826189,0.001003734,0.002519438,0.006263986,0,0.008618512
201407812,2.827275823,0.137140384,0.124007274,0.101550907,0.072439112,0.059314834,0.037957111,0.942470958,0.11882035,0.003003028,0.00737725,0.037957111,0.014486314,0.00460894,0.565305115,0.084621841,0.005586159,0.014486314,0.00460894,0.003643796,0.000729948,0.40383676,0.059314834,0.006012273,0.00460894,0.002934995,0.000676933,0.00050372,5.682132631,0.015570588,0.000736346,0.007160411,0.002893506,0.002964768,0.001617774,1,0.009400611
